region,nombre_region,consumo_electrico_residencial_tcal,consumo_electrico_residencial_gwh,viviendas_conectadas_red_publica,personas_residentes_p11a,personas_censadas_cant_per,kwh_por_vivienda_conectada,kwh_por_persona_p11a,kwh_por_persona_cant_per
1,Tarapacá,217.66,252.97,111029,353185.00,348534,2278.45,716.26,725.82
2,Antofagasta,400.60,465.59,195881,620050.00,610613,2376.89,750.89,762.49
3,Atacama,177.49,206.28,94227,284875.00,282329,2189.16,724.10,730.63
4,Coquimbo,498.29,579.12,274291,806323.00,800331,2111.34,718.23,723.60
5,Valparaíso,1483.66,1724.35,675418,1868098.00,1855194,2553.01,923.05,929.47
6,Libertador General Bernardo O'Higgins,735.92,855.30,338196,975188.00,969855,2529.01,877.06,881.88
7,Maule,862.22,1002.10,395661,1112096.00,1106287,2532.71,901.09,905.82
8,Biobío,1116.23,1297.31,561680,1596666.00,1588502,2309.69,812.51,816.69
9,La Araucanía,689.41,801.25,359921,986815.00,980840,2226.18,811.96,816.90
10,Los Lagos,727.22,845.19,322473,875807.00,870564,2620.98,965.05,970.86
11,Aysén,86.91,101.00,38186,97263.00,96719,2645.03,1038.45,1044.29
12,Magallanes y de la Antártica Chilena,127.38,148.04,60580,161688.00,160648,2443.71,915.59,921.52
13,Metropolitana de Santiago,6039.35,7019.07,2487750,7380622.00,7312825,2821.45,951.01,959.83
14,Los Ríos,321.26,373.37,143895,391129.00,388975,2594.75,954.60,959.88
15,Arica y Parinacota,148.50,172.59,71896,230445.00,227533,2400.54,748.94,758.52
16,Ñuble,397.33,461.79,185063,506391.00,504002,2495.29,911.91,916.24
