edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,tmy_commune_id,episcope_archetype,building_year,building_type,material,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,mvp_target_fuel_energy_kwh,mvp_wood_volume_stere,redpe_mid_m3st_per_consumer,redpe_mid_target_fuel_energy_kwh,candidate_count,valid_candidate_count,best_score,best_profile_error_kwh,best_event_fuel_energy_kwh,best_event_duration_hours,best_min_event_interval_hours,best_storage_capacity_kwh,best_storage_loss_rate_per_hour,dynamic_assigned_fuel_energy_kwh,dynamic_assigned_useful_energy_kwh,dynamic_unmet_heating_energy_kwh,dynamic_unallocated_fuel_energy_kwh,dynamic_storage_spill_energy_kwh,dynamic_stored_energy_end_kwh,dynamic_event_count,dynamic_wood_volume_stere,redpe_dynamic_assigned_fuel_energy_kwh,redpe_dynamic_assigned_useful_energy_kwh,redpe_dynamic_unmet_heating_energy_kwh,redpe_dynamic_unallocated_fuel_energy_kwh,redpe_dynamic_wood_volume_stere
99748,1,Tarapaca,1211,Alto Hospicio,1107,CL.SFH.CEV.lad.A,2018,SFH,lad,A,4,46.0,2769.878944297533,4154.8184164463,2.2257955802390894,,,144,144,0.24091836541806583,1000.9720614991193,8.0,2.0,4.0,8.0,0.0,4154.8184164463,2077.40920822315,692.4697360743834,0.0,0.0,0.0,520,2.2257955802390894,,,,,
111131,2,Antofagasta,2103,María Elena,2302,CL.SFH.preRT.mad.B,1990,SFH,mad,B,3,112.0,222.55400912550186,333.8310136882528,0.1788380430472783,,,144,144,0.22347820049508135,74.60395420849962,8.0,2.0,1.0,8.0,0.0,333.8310136882528,166.9155068441264,55.638502281375445,0.0,0.0,0.0,42,0.1788380430472783,,,,,
307529,3,Atacama,3304,Alto del Carmen,3302,CL.SFH.CEV.mad.B,2018,SFH,mad,B,4,13.0,5957.464860747752,8936.197291121629,4.787248548815159,,,144,144,0.2326832351535873,2079.3032956689035,8.0,2.0,4.0,8.0,0.0,8936.197291121629,4468.0986455608145,1489.366215186937,0.0,0.0,0.0,1118,4.787248548815159,,,,,
529140,4,Coquimbo,4304,Canela,4202,CL.SFH.RT2.lad.C,2011,SFH,lad,C,4,53.0,6285.901690791,9428.8525361865,5.051171001528482,,,144,144,0.21421076867600022,2019.761749509164,8.0,2.0,1.0,8.0,0.0,9428.8525361865,4714.42626809325,1571.4754226977507,0.0,0.0,0.0,1179,5.051171001528482,,,,,
861373,5,Valparaiso,5502,Nogales,5506,CL.SFH.preRT.lad.D,1990,SFH,lad,D,4,71.0,3427.5724150199885,5141.358622529982,2.7542992620696336,,,144,144,0.23058615790139986,1185.5261311624222,8.0,2.0,4.0,8.0,0.0,5141.358622529982,2570.679311264991,856.8931037549974,0.0,0.0,0.0,643,2.7542992620696336,,,,,
1202172,6,O'Higgins,6209,Chépica,6302,CL.SFH.RT2.mad.D,2011,SFH,mad,D,7,36.0,2407.5492244520055,3611.3238366780083,1.934637769648933,3.77,7040.0,144,144,0.24234370635750654,875.181603437758,8.0,2.0,4.0,8.0,0.0,3611.3238366780083,1805.6619183390044,601.8873061130017,0.0,0.0,0.0,452,1.9346377696489332,4576.0,2285.033273858557,122.51595059344902,2464.0,2.451428571428572
1440031,7,Maule,7210,San Rafael,7110,CL.SFH.preRT.lad.D,1990,SFH,lad,D,3,37.0,2842.6083360272332,4263.91250404085,2.284238841450455,5.345000000000001,9980.0,144,144,0.24171255375870004,1030.6411803553663,8.0,2.0,4.0,8.0,0.0,4263.91250404085,2131.9562520204254,710.6520840068082,0.0,0.0,0.0,533,2.284238841450455,5352.0,2674.0439759751066,168.5643600521266,4628.0,2.8671428571428574
1902270,8,Biobio,8301,Arauco,8202,CL.SFH.RT2.mad.E,2011,SFH,mad,E,3,65.0,5814.568591773079,8721.852887659617,4.672421189817652,7.145,13334.999999999998,144,144,0.22826142798041188,1990.862594772263,8.0,2.0,4.0,8.0,0.0,8721.852887659617,4360.926443829809,1453.64214794327,0.0,0.0,0.0,1091,4.672421189817652,9120.0,4558.112745539239,1256.45584623384,4214.999999999998,4.885714285714286
2205143,9,Araucania,9209,Carahue,9102,CL.SFH.preRT.mad.E,1990,SFH,mad,E,2,58.0,7006.616827209978,10509.925240814966,5.6303170932937325,11.055,20640.0,144,144,0.2300962242299972,2418.2941148510677,8.0,2.0,4.0,8.0,0.0,10509.925240814966,5254.962620407483,1751.6542068024946,0.0,0.0,0.0,1314,5.6303170932937325,11008.0,5500.861140482142,1505.755686727836,9632.0,5.897142857142857
2542125,10,Los Lagos,10503,Futaleufú,10402,CL.SFH.RT2.mad.I,2011,SFH,mad,I,2,48.0,10459.312208885523,15688.968313328285,8.404804453568723,16.1,30045.0,144,144,0.24227862623082894,3801.1016899321794,8.0,2.0,1.0,8.0,0.0,15688.968313328285,7844.484156664143,2614.8280522213818,0.0,0.0,0.0,1962,8.404804453568724,20744.0,10368.722586321275,90.58962256424897,9301.0,11.112857142857143
2551775,11,Aysen,11104,Guaitecas,11203,CL.SFH.preRT.mad.I,1990,SFH,mad,I,2,35.0,3625.4349082911026,5438.152362436654,2.9132959084482084,24.865,46410.0,144,144,0.24977311326845486,1358.3042459940032,8.0,1.0,4.0,8.0,0.0,5438.152362436654,2719.0761812183264,906.3587270727758,0.0,0.0,0.0,680,2.9132959084482075,7256.0,3624.7749006028976,0.6600076882049509,39154.0,3.887142857142857
2577343,12,Magallanes,12101,Natales,12401,CL.SFH.preRT.mad.I,1990,SFH,mad,I,3,76.0,17910.3373687088,26865.506053063196,14.392235385569569,23.345,43580.0,144,144,0.14239645813798996,3825.552908040929,8.0,2.0,1.0,8.0,0.0,26865.506053063196,13432.753026531598,4477.584342177201,0.0,0.0,0.0,3359,14.392235385569569,30524.0,15258.85367323707,2651.4836954717293,13056.0,16.352142857142855
3136144,13,RM,14202,Lampa,13302,CL.SFH.RT2.mad.D,2011,SFH,mad,D,6,18.0,1298.8640505972378,1948.2960758958566,1.0437300406584946,2.795,5225.0,144,144,0.24983025510331752,486.7433056578543,32.0,1.0,1.0,32.0,0.0,1948.2960758958566,974.1480379479283,324.7160126493095,0.0,0.0,0.0,61,1.0437300406584946,2624.0,1298.8640505972378,0.0,2601.0,1.4057142857142857
