edificio_id,codigo_region,region,nombre_comuna,episcope_archetype,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,event_count,wood_logs_burned,fuel_energy_consumed_kwh,wood_mass_kg,wood_volume_stere,assigned_useful_energy_kwh,potential_useful_energy_kwh,excess_useful_energy_kwh,unmet_heating_energy_kwh,trigger_hours,redpe_mid_m3st_per_consumer,redpe_mid_energy_kwh,relative_error_to_redpe_mid
99748,1,Tarapaca,Alto Hospicio,CL.SFH.CEV.lad.A,A,4,46.0,2769.8789442975335,173,173.0,1297.5,311.4,0.7899543378995434,221.9251603517691,648.75,426.82483964823086,2547.9537839457644,1912,,,
111131,2,Antofagasta,María Elena,CL.SFH.preRT.mad.B,B,3,112.0,222.55400912550186,16,17.0,127.5,30.6,0.0776255707762557,20.740889498786448,63.75,43.009110501213556,201.81311962671543,228,,,
307529,3,Atacama,Alto del Carmen,CL.SFH.CEV.mad.B,B,4,13.0,5957.248785194054,1011,1011.0,7582.5,1819.8,4.616438356164384,1205.6363641058194,3791.25,2585.6136358941803,4751.612421088234,13899,,,
529140,4,Coquimbo,Canela,CL.SFH.RT2.lad.C,C,4,53.0,6285.901690791,440,478.0,3585.0,860.4,2.182648401826484,878.2430104542793,1792.5,914.2569895457207,5407.658680336721,5858,,,
861373,5,Valparaiso,Nogales,CL.SFH.preRT.lad.D,D,4,71.0,3427.572415019988,371,376.0,2820.0,676.8,1.7168949771689497,606.2964045300283,1410.0,803.7035954699717,2821.2760104899603,5258,,,
1202172,6,O'Higgins,Chépica,CL.SFH.RT2.mad.D,D,7,36.0,2407.5492244520055,446,446.0,3345.0,802.8,2.036529680365297,480.1950961329811,1672.5,1192.3049038670188,1927.3541283190248,6920,3.77,7040.0,-0.4598064508314863
1440031,7,Maule,San Rafael,CL.SFH.preRT.lad.D,D,3,37.0,2842.608336027233,490,490.0,3675.0,882.0,2.2374429223744294,566.7157020136488,1837.5,1270.7842979863512,2275.892634013584,6782,5.345000000000001,9980.0,-0.5813951501638113
1902270,8,Biobio,Arauco,CL.SFH.RT2.mad.E,E,3,65.0,5814.568591773078,657,666.0,4995.0,1198.8,3.041095890410959,1041.219549272037,2497.5,1456.280450727963,4773.349042501042,7828,7.145,13334.999999999998,-0.5743742630635467
2205143,9,Araucania,Carahue,CL.SFH.preRT.mad.E,E,2,58.0,7006.6168272099785,959,960.0,7200.0,1728.0,4.383561643835616,1461.0195625683673,3600.0,2138.9804374316327,5545.597264641611,11611,11.055,20640.0,-0.6034770109601433
2542125,10,Los Lagos,Futaleufú,CL.SFH.RT2.mad.I,I,2,48.0,10458.701139210943,1412,1421.0,10657.5,2557.8,6.488584474885845,2680.780815154993,5328.75,2647.969184845007,7777.920324055951,14879,16.1,30045.0,-0.596982330752432
2551775,11,Aysen,Guaitecas,CL.SFH.preRT.mad.I,I,2,35.0,3625.4349082911026,680,680.0,5100.0,1224.0,3.105022831050228,647.5881599123347,2550.0,1902.4118400876653,2977.846748378768,9184,24.865,46410.0,-0.8751247604644992
2577343,12,Magallanes,Natales,CL.SFH.preRT.mad.I,I,3,76.0,17909.91421853104,1761,2128.0,15960.0,3830.4,9.71689497716895,4824.488974284671,7980.0,3155.511025715329,13085.425244246371,17125,23.345,43580.0,-0.5837697589561384
3136144,13,RM,Lampa,CL.SFH.RT2.mad.D,D,6,18.0,1298.8640505972378,270,270.0,2025.0,486.0,1.2328767123287672,205.36283926355162,1012.5,807.1371607364483,1093.501211333686,6446,2.795,5225.0,-0.5588992084691351
2355533,14,Los Rios,Paillaco,CL.SFH.preRT.mad.F,F,3,49.0,7113.164937365437,988,998.0,7485.0,1796.4,4.557077625570776,1584.8800004252926,3742.5,2157.6199995747074,5528.2849369401465,11230,14.16,26430.0,-0.6781724840698604
45480,15,Arica y Parinacota,Camarones,CL.SFH.preRT.mad.B,B,2,32.0,819.4778627252233,47,47.0,352.5,84.6,0.2146118721461187,21.730376699584493,176.25,154.5196233004155,797.7474860256388,544,,,
1643605,16,Nuble,Pemuco,CL.SFH.preRT.adobe.F,F,3,375.0,29642.234394265008,675,1962.0,14715.0,3531.6,8.95890410958904,5599.4775459279845,7357.5,1758.0224540720155,24042.756848337023,7578,,,
