codigo_region,region,target_source,n_simulations,n_calibration,n_holdout,n_inmuebles_sampled,heating_demand_kwh_weighted_mean,redpe_mid_m3st_per_consumer,target_fuel_energy_kwh,target_wood_volume_stere,simulated_wood_volume_stere_weighted_mean,simulated_wood_volume_stere_median,simulated_wood_volume_stere_p10,simulated_wood_volume_stere_p90,holdout_wood_volume_stere_weighted_mean,relative_volume_error,holdout_relative_volume_error,assigned_fuel_energy_kwh_weighted_mean,unallocated_fuel_energy_kwh_weighted_mean,unmet_heating_energy_kwh_weighted_mean,storage_spill_energy_kwh_weighted_mean,best_score,best_profile_error_kwh,best_event_fuel_energy_kwh,best_event_duration_hours,best_min_event_interval_hours,best_storage_capacity_kwh,best_storage_loss_rate_per_hour
1,Tarapaca,MVP_coverage_mid,10,5,5,10,4272.53154281818,,6981.301756430104,,2.8732772561866353,3.399991541900921,1.5887142857142857,3.739983083801842,2.671704135995391,,,5363.450878215052,1617.8508782150523,1592.3919012599886,0.0,0.323254560838814,1674.9624869888787,8.0,2.0,4.0,8.0,0.0
2,Antofagasta,MVP_coverage_mid,10,5,5,10,8957.373462212625,,10051.18239806476,,3.4468685996889787,4.352142857142858,0.8151428571428572,5.384561998963265,3.579769542649796,,,6434.154719419428,3617.0276786453323,5742.444407679182,0.0,0.29824815604065713,2160.14808307906,8.0,2.0,4.0,8.0,0.0
3,Atacama,MVP_coverage_mid,10,5,5,10,7412.334311101104,,12641.752446862962,,4.945661238613491,5.470714285714285,2.58,6.772367382248015,4.0193306193067455,,,9231.900978745185,3409.8514681177776,2798.991587122796,0.0,0.26455129149037904,2290.912565947339,8.0,2.0,1.0,8.0,0.0
4,Coquimbo,MVP_coverage_mid,15,8,7,15,6439.418102559376,,11365.016439353796,,4.669932094147242,4.5600000000000005,2.916857142857143,6.088401663939535,4.61135581515776,,,8717.206575741518,2647.809863612278,2083.116099828852,0.0,0.2907943683632972,2357.7980736408927,8.0,2.0,1.0,8.0,0.0
5,Valparaiso,MVP_coverage_mid,37,19,18,37,7329.237388424963,,9702.904295599574,,4.252864598692934,5.1979844440712,2.5414285714285714,5.1979844440712,4.353039841083219,,,7938.680584226808,1764.2237113727656,3361.607296739649,0.0,0.29251600366200275,2029.6794304970342,8.0,2.0,1.0,8.0,0.0
6,O'Higgins,REDPE_mid,35,18,17,35,5800.590520746921,3.77,7040.0,3.77,3.194571428571429,3.5014285714285713,2.3511428571428574,3.7714285714285714,3.1126890756302523,-0.15263357332322844,-0.1743530303368031,5963.2,1076.8,2821.4747718118106,0.0,0.41173150354009785,2022.3077267696226,8.0,2.0,4.0,8.0,0.0
7,Maule,REDPE_mid,57,29,28,57,7595.370580260203,5.345000000000001,9980.0,5.345000000000001,4.348947368421053,5.331428571428572,2.8560000000000003,5.346428571428571,4.533826530612245,-0.18635222293338594,-0.15176304385177836,8118.035087719299,1861.9649122807018,3538.4007101808916,0.0,0.36462622094567365,2534.6206947166356,8.0,2.0,1.0,8.0,0.0
8,Biobio,REDPE_mid,88,44,44,88,6445.92777884587,7.145,13334.999999999998,7.145,5.653837256493506,5.732142857142858,3.7727142857142857,7.143749999999999,5.591043019480519,-0.20870017403869753,-0.21748873065353116,10553.829545454546,2781.170454545454,1397.665236100782,0.0,0.012432191857383437,47.366650976630986,8.0,1.0,1.0,8.0,0.01
9,Araucania,REDPE_mid,65,33,32,65,7216.386033797758,11.055,20640.0,11.055,8.738637362637363,8.742857142857144,6.109714285714286,11.057142857142859,8.6175,-0.20953076773972296,-0.22048846675712347,16312.123076923077,4327.876923076923,881.1561751608551,0.0,0.11857941340726398,0.0,32.0,1.0,1.0,64.0,0.01
10,Los Lagos,REDPE_mid,52,26,26,52,7145.56453465256,16.1,30045.0,16.1,13.164539835164836,14.451428571428574,8.576571428571429,16.095535714285713,12.38146978021978,-0.18232671831274316,-0.23096460992423737,24573.80769230769,5471.192307692308,882.5855061825441,6020.755529798804,0.2902523978319277,381.25229139388614,32.0,2.0,1.0,8.0,0.0
