codigo_region,region,scenario,n_simulations,heating_demand_kwh_min,heating_demand_kwh_p10,heating_demand_kwh_median,heating_demand_kwh_p90,heating_demand_kwh_max,heating_demand_kwh_std,heating_demand_kwh_m2_min,heating_demand_kwh_m2_p10,heating_demand_kwh_m2_median,heating_demand_kwh_m2_p90,heating_demand_kwh_m2_max,heating_demand_kwh_m2_std,target_fuel_energy_kwh_min,target_fuel_energy_kwh_p10,target_fuel_energy_kwh_median,target_fuel_energy_kwh_p90,target_fuel_energy_kwh_max,target_fuel_energy_kwh_std,wood_volume_stere_min,wood_volume_stere_p10,wood_volume_stere_median,wood_volume_stere_p90,wood_volume_stere_max,wood_volume_stere_std,unmet_heating_energy_kwh_min,unmet_heating_energy_kwh_p10,unmet_heating_energy_kwh_median,unmet_heating_energy_kwh_p90,unmet_heating_energy_kwh_max,unmet_heating_energy_kwh_std,heating_demand_cv
1,Tarapaca,coverage_mid,10,418.9937611442746,1490.6667985047457,3494.808056286819,8860.517811316133,8860.51834199115,2976.1209250757706,3.9158295434044352,36.610768514098396,63.10505938970162,187.8389881178788,217.04269205544776,73.99617650099533,628.4906417164118,2236.0001977571183,5242.212084430229,13290.776716974198,13290.777512986726,4464.181387613656,0.3366914152052205,1.1978572487984562,2.808327902373337,7.120058955521891,7.120059381957175,2.3915257433644586,104.74844028606879,372.66669962618647,873.7020140717045,2215.129452829032,2215.129585497786,744.0302312689422,0.851583513927759
2,Antofagasta,coverage_mid,10,222.55400912550186,760.5061646673895,6414.547292407831,19718.74773947512,31735.246891619845,9994.497783040551,1.987089367191981,16.60428146460452,90.9537746035682,162.62532339217506,190.99081168768754,64.65383355425118,333.8310136882528,1140.7592470010843,9621.820938611747,29578.121609212678,47602.87033742977,14991.746674560827,0.1788380430472783,0.6111210251791526,5.154546931399151,15.845422290649648,25.50153768076594,8.031292861371869,55.63850228137545,190.12654116684726,1603.6368231019565,4929.686934868779,7933.81172290496,2498.6244457601374,1.5580986977631142
3,Atacama,coverage_mid,10,1647.266332298771,2421.4813564041015,5639.52706410834,14451.317280529285,18206.80034462297,5489.088142264543,26.138845424549213,40.62772298011887,95.38413863201781,231.5713181583207,458.2665277498271,129.12394087987752,2470.8994984481565,3632.222034606152,8459.290596162511,21676.97592079393,27310.200516934456,8233.632213396815,1.323696159882941,1.9458332328247239,4.531762819372773,11.612665671853891,14.630464562643457,4.410874400034007,411.81658307469274,605.3703391010254,1409.8817660270847,3612.8293201323204,4551.700086155743,1372.2720355661359,0.9733241954274436
4,Coquimbo,coverage_mid,10,2721.330306783179,3725.3202709411303,6011.115167731953,13274.487348887424,23823.671791509478,6309.707400090675,47.368823597569445,72.77014002933642,115.43934555556167,236.983138669399,288.1513272417058,72.85613630875557,4081.9954601747686,5587.980406411695,9016.67275159793,19911.731023331133,35735.50768726422,9464.561100136014,2.186783282236483,2.9935609320062655,4.830360402641748,10.66699876249882,19.144021975320115,5.0703005893585775,680.3325766957951,931.3300677352826,1502.7787919329885,3318.6218372218573,5955.917947877369,1577.4268500226688,1.049673350788816
5,Valparaiso,coverage_mid,10,2077.5633240169436,2464.603932702457,3690.1315394853873,18657.91909497968,19824.378060980576,6891.823505893763,46.24695809661427,48.07279684512607,83.07014517084144,146.78859039830581,303.74282857707874,74.96595856515614,3116.3449860254154,3696.9058990536855,5535.1973092280805,27986.87864246952,29736.567091470864,10337.735258840643,1.6694705282279012,1.9804853030644742,2.9652842728007576,14.992970701322957,15.930303799002248,5.538072460093201,519.3908310042359,616.1509831756142,922.532884871347,4664.479773744923,4956.094515245144,1722.955876473441,1.8676362704552456
6,O'Higgins,coverage_mid,10,312.7427425717084,2008.861185065138,5592.300034620342,12103.72772787531,17320.328243085634,4962.123996279204,35.14662829954704,43.72444401774578,63.75198127285324,148.45700615643597,169.80713963809444,43.78813340797747,469.1141138575626,3013.291777597707,8388.450051930513,18155.591591812965,25980.49236462845,7443.1859944188045,0.2513111324236943,1.6142634522844865,4.493812527819918,9.726209781328375,13.918120909622388,3.987421068438646,78.1856856429271,502.2152962662845,1398.0750086550852,3025.931931968829,4330.082060771405,1240.5309990698001,0.8873136215081636
6,O'Higgins,redpe_mid,10,312.7427425717084,2008.861185065138,5592.300034620342,12103.72772787531,17320.328243085634,4962.123996279204,35.14662829954704,43.72444401774578,63.75198127285324,148.45700615643597,169.80713963809444,43.78813340797747,7040.0,7040.0,7040.0,7040.0,7040.0,0.0,0.335081509898259,2.1523512697126477,3.7714285714285714,3.7714285714285714,3.7714285714285727,1.1344487440205608,0.0,0.0,2072.3000346203416,8583.727727875314,13800.32824308563,4385.747947672004,0.8873136215081636
7,Maule,coverage_mid,10,2842.6083360272332,3572.675781400032,5452.042160735986,12959.91739015213,22449.420272459327,6019.23276436007,38.136753354403645,47.4113456147571,88.2030384035489,181.05596178623432,187.0785022704944,52.44932057996546,4263.91250404085,5359.013672100048,8178.063241103978,19439.876085228192,33674.13040868899,9028.849146540104,2.284238841450455,2.870900181482169,4.381105307734273,10.414219331372246,18.039712718940528,4.836883471360769,710.6520840068083,893.168945350008,1363.0105401839967,3239.9793475380325,5612.35506811483,1504.808191090017,1.1040326884683367
7,Maule,redpe_mid,10,2842.6083360272332,3572.675781400032,5452.042160735986,12959.91739015213,22449.420272459327,6019.23276436007,38.136753354403645,47.4113456147571,88.2030384035489,181.05596178623432,187.0785022704944,52.44932057996546,9980.0,9980.0,9980.0,9980.0,9980.0,0.0,3.0456517886006074,3.827866908642892,5.34642857142857,5.346428571428571,5.346428571428571,0.8523534285773773,0.0,0.0,462.0421607359858,7969.917390152128,17459.420272459323,5614.7951362084395,1.1040326884683367
8,Biobio,coverage_mid,10,1153.4499556094484,3032.5489283170505,5965.415060698451,16714.011007348654,36668.82882006177,10269.211618822774,81.03344257655849,82.01836406020873,116.26797302762651,181.03693987005425,192.2416592682414,41.92330836159678,1730.1749334141725,4548.823392475576,8948.122591047679,25071.01651102298,55003.24323009265,15403.817428234159,0.9268794286147354,2.4368696745404876,4.79363710234697,13.430901702333738,29.466023158978203,8.252045050839726,288.3624889023619,758.1372320792618,1491.3537651746128,4178.502751837163,9167.207205015442,2567.3029047056934,1.7214580233450545
