edificio_id,codigo_comuna,tmy_commune_id,codigo_region,nombre_comuna,longitud,latitud,n_inmuebles,area_total_construida,area_promedio_inmueble,clasificacion,episcope_archetype,zona_termica,anio_construccion,n_pers_edificio,tipo_comb_calef,commune_rank,sample_order,regional_sample_rank
99748,1211,1107,1,Alto Hospicio,-70.100496,-20.258905,1,46.0,46.0,casa,CL.SFH.CEV.lad.A,A,2015,4.261682242990654,lena,1,2c9802f4d80819c3818fbb08cae9a2d9,1
64898,1201,1101,1,Iquique,-70.137476,-20.225554,1,36.0,36.0,casa,CL.SFH.preRT.lad.A,A,1979,5.48,lena,1,4662d694983f818bcc42ced2a07784d5,2
80892,1206,1404,1,Huara,-69.796016,-19.265436,1,31.0,31.0,casa,CL.SFH.post2021.lad.A,A,2022,1.4166666666666667,lena,1,6b68624614a5e74afe22f49d6dee75f1,3
81216,1210,1403,1,Colchane,-68.644222,-19.46758,1,48.0,48.0,casa,CL.SFH.preRT.adobe.H,H,1970,1.058252427184466,lena,1,93c7966480e59ea7c12ecd861d8c1418,4
81066,1208,1402,1,Camiña,-69.430414,-19.31095,1,47.0,47.0,casa,CL.SFH.preRT.adobe.B,B,1980,1.8181818181818181,lena,1,a1771132cd440c8234d29ff97a4f3aee,5
77089,1204,1401,1,Pozo Almonte,-69.656005,-20.332287,1,107.0,107.0,casa,CL.SFH.preRT.mad.B,B,1995,0.22580645161290322,lena,1,bc1c6a21a291a40b3bb0b2b2803a29af,6
81218,1210,1403,1,Colchane,-68.644287,-19.467488,1,48.0,48.0,casa,CL.SFH.preRT.adobe.H,H,1930,1.058252427184466,lena,2,0bbc86c3aa695d881c4a0861ca8cd141,7
85499,1211,1107,1,Alto Hospicio,-70.101244,-20.290087,1,40.0,40.0,casa,CL.SFH.RT2.mad.A,A,2007,3.5652173913043477,lena,2,3d57cd5bb119cbf18a05fd96533c40c1,8
81033,1208,1402,1,Camiña,-69.424597,-19.312267,1,46.0,46.0,casa,CL.SFH.RT2.lad.B,B,2009,1.625,lena,2,57f102ee1d9e922cabfff5dfbfe10888,9
80370,1206,1404,1,Huara,-69.772468,-19.992859,1,64.0,64.0,casa,CL.SFH.RT1.mad.B,B,2000,6.666666666666667,lena,2,81610fcd4a506fa0eca1e164fd805d2a,10
111131,2103,2302,2,María Elena,-69.534116,-21.656532,1,112.0,112.0,casa,CL.SFH.preRT.mad.B,B,1995,2.739130434782609,lena,1,12c5a0ee27360d392b8f3c4d9b486e2e,1
182396,2206,2103,2,Sierra Gorda,-69.848016,-23.336257,1,36.0,36.0,casa,CL.SFH.RT1.lad.B,B,2005,4.8,lena,1,2dea0bab3c0057635b9bf866ef60edbd,2
222578,2302,2202,2,Ollagüe,-68.252052,-21.223024,1,180.0,180.0,casa,CL.SFH.preRT.adobe.H,H,1960,3.640625,lena,1,4de36b548b6cf3b5cde3a7916b44b9d4,3
222961,2303,2203,2,San Pedro de Atacama,-68.001219,-23.19015,1,150.0,150.0,casa,CL.SFH.CEV.lad.B,B,2019,1.625,lena,1,5b74c7ccb6dcb9c5b530212ace093cb5,4
176691,2202,2104,2,Taltal,-70.477533,-25.410658,1,55.0,55.0,casa,CL.SFH.preRT.mad.A,A,1995,3.0285714285714285,lena,1,895f74b88ceb4bf786b6232dc902279d,5
107805,2101,2301,2,Tocopilla,-70.187001,-22.086524,1,45.0,45.0,casa,CL.SFH.preRT.mad.A,A,1960,1.6363636363636365,lena,1,8d70d965786cb1704f82463899a184fb,6
182290,2203,2102,2,Mejillones,-70.276542,-22.713342,1,24.0,24.0,casa,CL.SFH.RT1.mad.A,A,2000,1.9852941176470589,lena,1,d2b0aaa14e343c5d38dcafaa872cb756,7
175950,2201,2101,2,Antofagasta,-70.534887,-23.513953,1,54.0,54.0,casa,CL.SFH.RT1.lad.A,A,2001,0.7609561752988048,lena,1,dda6d93bb22b328df7e2a9a36f3f0785,8
199560,2301,2201,2,Calama,-68.910192,-22.454791,1,79.0,79.0,casa,CL.SFH.RT2.lad.B,B,2010,2.2549019607843137,lena,1,fbfb64d69425e687f0a948d66eede6ec,9
119818,2201,2101,2,Antofagasta,-70.399794,-23.662865,1,199.0,199.0,casa,CL.SFH.RT1.lad.A,A,2002,2.097560975609756,lena,2,0b2a562e5272105bc546dc9a31fc8fcc,10
307529,3304,3302,3,Alto del Carmen,-70.51888,-28.722775,1,13.0,13.0,casa,CL.SFH.CEV.mad.B,B,2015,4.230769230769231,lena,1,1035edc7a405b4d8c29048315eefd06e,1
306390,3303,3304,3,Huasco,-71.225935,-28.462017,1,39.0,39.0,casa,CL.SFH.preRT.mad.A,A,1962,1.7333333333333334,lena,1,269e3b1a0792a8ca61e672ef18abdd0b,2
278371,3202,3102,3,Caldera,-70.820751,-27.071811,1,77.0,77.0,casa,CL.SFH.preRT.lad.A,A,1980,1.8095238095238095,lena,1,3b2709954561f09afe4d808c922a53c7,3
230168,3102,3202,3,Diego de Almagro,-70.05341,-26.390993,1,96.0,96.0,casa,CL.SFH.RT2.lad.B,B,2008,2.0555555555555554,lena,1,3ca2657887ca6a541d882b9b46e3b4e5,4
283642,3203,3103,3,Tierra Amarilla,-70.265793,-27.476546,1,68.0,68.0,casa,CL.SFH.preRT.mad.B,B,1971,2.7432432432432434,lena,1,67a8c7c65635cbb2e39a5608f1ae90a4,5
301258,3302,3303,3,Freirina,-70.916975,-28.534134,1,98.0,98.0,casa,CL.SFH.preRT.mad.A,A,1980,5.714285714285714,lena,1,78af2f11c5678656061ac47a233b75b2,6
