codigo_region,total_inmuebles_regional,wood_inmuebles_regional,total_records_regional,wood_records_regional,wood_share_regional,sampling_weight_wood_inmuebles,requested_samples,selected_records
1,89793,166,57059,166,0.0018486964462708674,0.0001684851560517635,10,10
2,175972,970,120651,970,0.00551224058372923,0.0009845216950012687,10,10
3,93940,1342,83619,1286,0.014285714285714285,0.0013620908398883531,10,10
4,274131,14348,221688,14217,0.052339939663883325,0.014562801319462065,15,15
5,645498,79282,443992,74628,0.12282299867699048,0.08046891651865008,37,37
6,276334,71629,243603,71004,0.25921167862079947,0.07270134483633596,35,35
7,350269,135357,323549,133609,0.3864372810611273,0.13738340522709971,57,57
8,484775,224598,374271,213883,0.463303594451034,0.22796041613803603,88,88
9,283027,160179,245414,154754,0.5659495383832638,0.16257701091093632,65,65
10,190634,120683,175604,118039,0.633061258747128,0.12248972342045167,52,52
11,27888,20143,27360,20095,0.7222819850831899,0.020444557218979954,17,17
12,50171,1384,46078,1384,0.027585657052879152,0.0014047196143110886,11,11
13,2378702,28987,1401806,28787,0.01218605777436602,0.02942095914742451,20,20
14,97794,67772,91314,66151,0.6930077509867681,0.06878660238518143,33,33
15,64076,122,46207,122,0.0019039890130470066,0.0001238264399898503,10,10
16,126745,58288,115902,57289,0.4598840190934554,0.05916061913219995,30,30
