edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,regional_sample_rank,n_inmuebles,winter_setpoint_c,setpoint_scenario,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,target_fuel_energy_kwh,redpe_target_wood_volume_stere,assigned_fuel_energy_kwh,assigned_useful_energy_kwh,wood_volume_stere,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,event_count,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour
2577343,12,Magallanes,12101,Natales,1,1,,perfil_actual,I,3,76.0,17910.3373687088,43580.0,23.345,35792.0,17892.81582088847,19.174285714285713,7788.0,17.521547820329832,0.0,2237,16.0,2.0,1.0,16.0,0.0
2593509,12,Magallanes,12205,Punta Arenas,2,1,,perfil_actual,I,2,101.0,19155.00551946237,43580.0,23.345,38256.0,19118.97498736486,20.494285714285713,5324.0,36.03053209750696,0.0,2391,16.0,2.0,1.0,16.0,0.0
2614773,12,Magallanes,12301,Porvenir,3,1,,perfil_actual,I,4,96.0,16518.94824030586,43580.0,23.345,32976.0,16479.220904897156,17.665714285714287,10604.0,39.727335408704086,0.0,2061,16.0,2.0,1.0,16.0,0.0
2614434,12,Magallanes,12206,Laguna Blanca,4,1,,perfil_actual,I,1,59.0,12517.762062822123,43580.0,23.345,25056.0,12517.762062822123,13.422857142857145,18524.0,0.0,0.0,1566,16.0,2.0,1.0,16.0,0.0
2577414,12,Magallanes,12103,Torres del Paine,5,1,,perfil_actual,I,3,390.0,45356.71154411781,43580.0,23.345,43580.0,21790.0,23.34642857142857,0.0,23566.711544117814,0.0,2724,16.0,2.0,1.0,16.0,0.0
2577486,12,Magallanes,12204,San Gregorio,6,1,,perfil_actual,I,1,80.0,15134.623850504076,43580.0,23.345,30256.0,15122.719827878353,16.20857142857143,13324.0,11.904022625724082,0.0,1891,16.0,2.0,1.0,16.0,0.0
2616043,12,Magallanes,12304,Timaukel,7,1,,perfil_actual,I,8,56.0,12433.107862108689,43580.0,23.345,24880.0,12433.107862108689,13.328571428571427,18700.0,0.0,0.0,1555,16.0,2.0,1.0,16.0,0.0
2616079,12,Magallanes,12401,Cabo de Hornos,8,1,,perfil_actual,I,2,35.0,9859.973866679931,43580.0,23.345,19728.0,9859.973866679931,10.568571428571428,23852.0,0.0,0.0,1233,16.0,2.0,1.0,16.0,0.0
2616012,12,Magallanes,12302,Primavera,9,1,,perfil_actual,I,4,170.0,24569.197346062312,43580.0,23.345,43580.0,21790.0,23.34642857142857,0.0,2779.1973460623135,0.0,2724,16.0,2.0,1.0,16.0,0.0
2580174,12,Magallanes,12205,Punta Arenas,10,1,,perfil_actual,I,3,81.0,17988.34899414634,43580.0,23.345,35944.0,17965.413774998102,19.25571428571429,7636.0,22.935219148241337,0.0,2247,16.0,2.0,1.0,16.0,0.0
