setpoint_scenario,codigo_region,region,winter_setpoint_c,n_simulations,n_inmuebles,heating_demand_kwh_weighted_mean,redpe_mid_m3st_per_consumer,simulated_wood_volume_stere_weighted_mean,relative_volume_error,assigned_fuel_energy_kwh_weighted_mean,unallocated_fuel_energy_kwh_weighted_mean,unmet_heating_energy_kwh_weighted_mean,event_count_weighted_mean
perfil_actual,12,Magallanes,,11,11,19046.821428360698,23.345,17.834025974025973,-0.23606656782925792,33290.181818181816,10289.818181818182,2406.9698072555543,2080.7272727272725
invierno_22C,12,Magallanes,22.0,11,11,21233.973804974838,23.345,19.223766233766234,-0.17653603624903683,35884.36363636364,7695.636363636364,3296.3470044424535,2242.818181818182
invierno_24C,12,Magallanes,24.0,11,11,22115.432233329946,23.345,19.674155844155845,-0.15724327075794192,36725.09090909091,6854.909090909091,3758.76521126064,2295.4545454545455
perfil_actual,14,Los Rios,,33,33,9161.613141462423,14.16,10.481266233766235,-0.25979758236114164,19565.030303030304,6864.969696969697,1933.125157993241,611.4242424242424
invierno_22C,14,Los Rios,22.0,33,33,10405.570094841785,14.16,11.292629870129872,-0.20249789052755143,21079.575757575756,5350.424242424242,2471.15206101201,658.7575757575758
invierno_24C,14,Los Rios,24.0,33,33,11094.213623743917,14.16,11.718603896103895,-0.17241497908870798,21874.727272727272,4555.272727272727,2784.913116157623,683.6060606060606
perfil_actual,10,Los Lagos,,52,52,7145.56453465256,16.1,13.164539835164836,-0.18232671831274316,24573.80769230769,5471.192307692308,882.5855061825441,767.9807692307693
invierno_22C,10,Los Lagos,22.0,52,52,8285.465791721545,16.1,14.026864697802198,-0.12876616783837286,26183.48076923077,3861.519230769231,1341.0732052589105,818.2884615384615
invierno_24C,10,Los Lagos,24.0,52,52,8893.412011255445,16.1,14.372503434065935,-0.107297923349942,26828.673076923078,3216.326923076923,1606.7872813046195,838.4615384615385
perfil_actual,9,Araucania,,65,65,7216.386033797758,11.055,8.738637362637363,-0.20953076773972296,16312.123076923077,4327.876923076923,881.1561751608551,509.75384615384615
invierno_22C,9,Araucania,22.0,65,65,8384.421993143558,11.055,9.419604395604395,-0.1479326643505748,17583.26153846154,3056.7384615384617,1324.9735770567509,549.4769230769231
invierno_24C,9,Araucania,24.0,65,65,9021.950544249152,11.055,9.730021978021979,-0.11985328104731081,18162.707692307693,2477.2923076923075,1620.521672932822,567.5846153846154
