region,nombre_region,consumo_electrico_residencial_tcal,consumo_electrico_residencial_gwh,viviendas_conectadas_red_publica,personas_residentes_p11a,kwh_por_vivienda_conectada,kwh_por_persona_p11a,kwh_por_persona_cant_per,consumo_electrico_total_original_gwh,consumo_electrico_total_fuente_tsib_gwh,calefaccion_electrica_merlin_gwh,consumo_electrico_no_calefaccion_gwh,personas_modeladas,kwh_por_persona_p11a_original,factor_reduccion_p11a_pct
1,Tarapacá,192.024505,223.175147,111029,353185.000000,2010.061759,631.893050,640.325326,252.969289,252.970000,29.794142,223.175147,299494,716.260000,-11.778816
2,Antofagasta,214.732269,249.566615,195881,620050.000000,1274.072600,402.494339,408.714873,465.586222,465.590000,216.019607,249.566615,558634,750.890000,-46.397696
3,Atacama,75.871818,88.179913,94227,284875.000000,935.824265,309.538966,312.330342,206.282822,206.280000,118.102909,88.179913,263339,724.100000,-57.251904
4,Coquimbo,285.988690,332.382411,274291,806323.000000,1211.787521,412.219930,415.306181,579.123711,579.120000,246.741300,332.382411,779489,718.230000,-42.606139
5,Valparaíso,602.613231,700.370488,675418,1868098.000000,1036.943771,374.910999,377.518733,1724.342622,1724.350000,1023.972134,700.370488,1762517,923.050000,-59.383457
6,Libertador General Bernardo O'Higgins,347.693520,404.097135,338196,975188.000000,1194.860776,414.378699,416.657268,855.302578,855.300000,451.205443,404.097135,901816,877.060000,-52.753666
7,Maule,522.488493,607.247738,395661,1112096.000000,1534.767738,546.038955,548.906150,1002.091244,1002.100000,394.843506,607.247738,1035042,901.090000,-39.402395
8,Biobío,737.829613,857.521972,561680,1596666.000000,1526.709108,537.070353,539.830590,1297.307311,1297.310000,439.785339,857.521972,1477160,812.510000,-33.899847
9,La Araucanía,521.441701,606.031133,359921,986815.000000,1683.789312,614.128416,617.869513,801.247622,801.250000,195.216489,606.031133,841679,811.960000,-24.364696
10,Los Lagos,614.671296,714.384639,322473,875807.000000,2215.331637,815.687291,820.599794,845.191244,845.190000,130.806605,714.384639,671072,965.050000,-15.477199
11,Aysén,73.226671,85.105664,38186,97263.000000,2228.713769,875.005542,879.927046,101.008733,101.000000,15.903069,85.105664,86386,1038.450000,-15.739271
12,Magallanes y de la Antártica Chilena,119.039306,138.350127,60580,161688.000000,2283.759112,855.661069,861.200432,148.043867,148.040000,9.693740,138.350127,146586,915.590000,-6.545389
13,Metropolitana de Santiago,2558.004611,2972.969804,2487750,7380622.000000,1195.043635,402.807487,406.541905,7019.066776,7019.070000,4046.096972,2972.969804,7063908,951.010000,-57.644243
14,Los Ríos,269.687707,313.437046,143895,391129.000000,2178.234449,801.364885,805.802548,373.375511,373.370000,59.938465,313.437046,334951,954.600000,-16.052285
15,Arica y Parinacota,137.066768,159.302044,71896,230445.000000,2215.728886,691.280106,700.127208,172.590000,172.590000,13.287956,159.302044,208995,748.940000,-7.698867
16,Ñuble,312.305071,362.967894,185063,506391.000000,1961.320707,716.773983,720.171535,461.785755,461.790000,98.817861,362.967894,392922,911.910000,-21.398605
